Dag,Week,grootte in cm,gewicht in gr,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
189,27,35.7,900.0,Een bowlingbal (6 lbs),Ze heeft vandaag een 'ik-ben-er-klaar-voor'-gevoel. De angst voor de bevalling maakt plaats voor vastberadenheid.,High five. Zeg: 'Laten we dit doen. Team {userName} en {partnerName} is er klaar voor.',"Er kan een mentaal omslagpunt komen, waarop de wens om de baby te ontmoeten groter wordt dan de angst voor de bevalling.","De atleet staat in de startblokken. De zenuwen zijn er, maar de focus is er ook.","Een krop sla met een vastberaden gezicht, die zijn vuisten balt.",https://deverloskundige.nl/bevalling/subtekstpagina/51/je-voorbereiden-op-de-bevalling/
190,28,35.97,914.29,Een autovelg (klein model),Ze heeft vandaag een afspraak bij de verloskundige en de baby ligt in stuit. Lichte paniek.,"Blijf kalm. Zeg: 'Hij heeft nog alle tijd om te draaien. En zo niet, dan zijn er opties.'",Veel baby's liggen rond deze tijd nog niet met hun hoofd naar beneden. Er is nog genoeg ruimte om te draaien. Geen reden voor paniek.,De baby is een eigenwijze puber die weigert om in de juiste positie te gaan liggen.,Een ananas die ondersteboven in een baarmoeder ligt.,https://deverloskundige.nl/zwangerschap/subtekstpagina/34/stuitligging/
191,28,36.24,928.57,Een autovelg (klein model),"Ze probeert vandaag 'oefeningen' om de baby te laten draaien. Op handen en knieën zitten, met haar heupen wiegen.","Doe mee. Het ziet er misschien gek uit, maar het kan geen kwaad. En het is weer een moment van 'samen voor gek staan'.","Er zijn verschillende houdingen die de baby kunnen 'uitnodigen' om te draaien. Of het echt werkt is de vraag, maar het geeft een gevoel van actie.",Jullie doen een soort 'baby-draai-dans'.,Twee ananassen die op handen en knieën met hun heupen wiegen.,https://www.stuitligging.nl/wat-kan-je-doen/oefeningen/
192,28,36.51,942.86,Een autovelg (klein model),Ze heeft vandaag last van 'zwangerschapsjeuk'. Vooral op haar buik. Het maakt haar gek.,"Een lauwe douche, losse katoenen kleding en mentholpoeder kunnen verlichting geven.","Zwangerschapsjeuk (PUPPP) is een intense, jeukende uitslag die vaak op de buik begint. Het is onschuldig maar extreem vervelend.",Haar buik is aangevallen door een leger van onzichtbare jeuk-kabouters.,Een ananas die zichzelf als een gek aan het krabben is.,https://www.thuisarts.nl/zwangerschapsjeuk/ik-heb-zwangerschapsjeuk
193,28,36.79,957.14,Een autovelg (klein model),Ze heeft vandaag een 'ik-kan-niet-meer-denken-dan-aan-de-baby'-dag. Haar hele wereld is gekrompen tot haar buik.,Vraag haar naar de baby. 'Hoe voelt hij vandaag? Is hij druk?' Toon interesse in haar wereld.,Het is normaal dat haar focus volledig op de zwangerschap en de baby ligt. Haar brein en lichaam bereiden zich voor op de komst.,Haar brein is een one-trick pony geworden. En die ene trick is 'baby'.,Een ananas met een groot hart in zijn 'buik'.,https://www.oudersvannu.nl/zwanger/psyche/veranderingen-in-je-brein-tijdens-zwangerschap/
194,28,37.06,971.43,Een autovelg (klein model),Ze heeft vandaag het geboorteplan geschreven. Een document van 5 kantjes met al haar wensen.,"Lees het. Bespreek het. Zorg dat je weet wat haar wensen zijn, want jij bent haar woordvoerder tijdens de bevalling.","Een geboorteplan is een manier om je wensen kenbaar te maken, maar wees flexibel. Een bevalling loopt zelden zoals gepland.",Ze heeft de 'battle plan' voor D-Day geschreven. Jij moet het uit je hoofd leren.,"Een ananas die een lang, gedetailleerd document presenteert.",https://deverloskundige.nl/bevalling/subtekstpagina/52/het-bevalplan/
195,28,37.33,985.71,Een autovelg (klein model),Ze is vandaag aan het 'proefpersen'. Tijdens een harde buik voelt ze een lichte persdrang.,"Zeg: 'Wow, je lichaam is echt slim. Het is al aan het oefenen.'",Soms kan er bij harde buiken al een lichte persdrang optreden. Het is een reflex van het lichaam.,Haar lichaam doet een 'generale repetitie' voor de grote finale.,Een ananas die een klein beetje rood aanloopt van het 'persen'.,https://deverloskundige.nl/bevalling/subtekstpagina/46/de-uitdrijving/
196,28,37.6,1000.0,Een autovelg (klein model),"Ze heeft vandaag een 'ik-ben-er-helemaal-klaar-mee'-huilbui. De vermoeidheid, de pijn, het wachten.","Laat haar uithuilen. Geef haar een knuffel en zeg: 'Ik weet het niet meer, schat, maar ik ben er. En we komen hier samen doorheen.'",Het einde van de zwangerschap is een uitputtingsslag. Een emotionele uitbarsting is een manier om de opgebouwde spanning te ontladen.,De emmer is vol. En vandaag stroomt hij over. Jouw taak is om de dweil te zijn.,Een ananas die in een grote plas tranen zit.,https://www.oudersvannu.nl/zwanger/zwangerschap/derde-trimester/
197,29,37.77,1025.0,Een Formule 1-stuur,Ze voelt de baby minder bewegen. Paniek.,"Volg het protocol: ga een uur rustig op je linkerzij liggen. Eet of drink iets zoets. Voel je dan nog niks, bel de verloskundige. Altijd.","In het derde trimester heeft de baby minder ruimte, waardoor de bewegingen anders kunnen aanvoelen. Maar bij twijfel of verminderde beweging, moet je altijd direct contact opnemen.","Minder leven voelen is een 'code rood'. Geen risico nemen, direct de hulplijnen inschakelen.","Een flespompoen die stil in een hoekje ligt, met een groot vraagteken erboven.",https://deverloskundige.nl/zwangerschap/subtekstpagina/95/je-baby-voelen-bewegen/
198,29,37.94,1050.0,Een Formule 1-stuur,Ze heeft vandaag last van 'voorweeën'. Pijnlijke samentrekkingen die onregelmatig zijn.,"Help haar ontspannen. Een warme douche, een massage. Voorweeën worden vaak minder bij ontspanning, echte weeën niet.",Voorweeën kunnen pijnlijk zijn en lijken op het echte werk. Het belangrijkste verschil is dat ze niet toenemen in kracht en frequentie.,Haar lichaam is aan het 'warmdraaien' voor de marathon.,Een flespompoen die aan het stretchen is.,https://www.babycenter.nl/a544923/voorwee%C3%ABn-of-echte-wee%C3%ABn
