Dag,Week,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
1,1,"Zo groot als een maanzaadje. Zo klein dat je 'm waarschijnlijk net hebt weggeveegd van je broodje.","Vandaag voelt {partnerName} zich misschien een beetje 'anders', maar ze kan haar vinger er niet op leggen. Jij merkt waarschijnlijk niks.","Welkom bij de club. Regel 1: je weet niks. En dat is oké.","De bevruchting heeft plaatsgevonden. Een zaadcel en eicel zijn samengesmolten tot een zygote, die zich nu deelt en op weg is naar de baarmoeder.","De zwemmers hebben de finish bereikt. Eentje heeft de hoofdprijs gewonnen en is nu de manager van een heel nieuw project.","Een enkele zaadcel met een klein gouden medaille om.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/1-week-zwanger/"
2,1,"Zo groot als een maanzaadje.","{partnerName} is vandaag misschien wat sneller moe dan normaal, maar wijt het aan een lange werkdag.","Jouw taak voor vandaag: observeer. Zeg niks, doe niks, kijk gewoon. Je leert meer dan je denkt.","De bevruchte eicel, nu een blastocyste, reist door de eileider. Dit kost het lichaam van je partner al energie, ook al is er nog niks 'zichtbaar'.","De kleine is op tournee. Een reis van de 'eileider-arena' naar het 'baarmoeder-stadion'. Vandaag is reisdag.","Een maanzaadje met een kleine rugzak op, wandelend door een tunnel.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/2-weken-zwanger/"
3,1,"Zo groot als een maanzaadje.","Ze zucht vandaag misschien iets vaker. 'Gewoon een drukke week,' zegt ze. Jij knikt instemmend.","Leer de kunst van het 'meebewegen'. Als zij zucht, zucht jij zachtjes mee. Niet te opvallend. Het is een soort geheime high five.","De celdeling gaat in een razend tempo door. De basis voor wat later de baby en de placenta wordt, is al gelegd.","De kleine is aan het klonen. Van 1 naar 2, van 2 naar 4, van 4 naar 8... Het is een soort biologische piramidespel, maar dan legaal.","Een maanzaadje dat zichzelf kopieert op een ouderwets kopieerapparaat.","https://www.babycenter.nl/a25004909/de-ontwikkeling-van-je-baby-1-week-zwanger"
4,1,"Zo groot als een maanzaadje.","Vandaag heeft ze misschien een onbestemd gevoel, een soort lichte kramp. 'Zal wel ongesteld worden,' mompelt ze.","Je bent nu officieel gepromoveerd tot 'supporter'. Je hoeft het spel niet te snappen, als je maar aan de zijlijn staat.","De blastocyste komt aan in de baarmoeder en bereidt zich voor op de innesteling. Dit kan een heel licht, kramperig gevoel geven.","De landing wordt voorbereid. De kleine zoekt de beste parkeerplek in de baarmoeder. Eentje met goed uitzicht voor de komende 9 maanden.","Een maanzaadje in een astronautenpakje dat een vlag plant in een zachte, roze ondergrond.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/2-weken-zwanger/"
5,1,"Zo groot als een maanzaadje.","Ze is vandaag misschien wat emotioneler bij een film. Zelfs bij die stomme actieknaller die jij wilde zien.","Emoties zijn als het weer: je kunt er niks aan doen, alleen een paraplu meenemen. Jouw paraplu is een arm om haar heen.","De innesteling begint. De bevruchte eicel graaft zich in de baarmoederwand. Dit proces kan de hormoonhuishouding al licht beïnvloeden.","De kleine is aan het inbreken in de baarmoederwand. Geen zorgen, hij heeft de sleutel. Het is een VIP-ingang.","Een maanzaadje met een klein schepje, dat een kuiltje graaft.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/3-weken-zwanger/"
6,1,"Zo groot als een maanzaadje.","Vandaag heeft ze misschien een heel lichte bloeding (een paar druppels). Ze denkt dat het niks is. Jij ook.","Soms is de beste actie geen actie. Gewoon afwachten. Geduld is je nieuwe superkracht.","Dit kan een 'innestelingsbloeding' zijn. Het is een goed teken: de zwangerschap begint nu echt. Ongeveer 20-30% van de vrouwen ervaart dit.","De kleine heeft de verbouwing afgerond en laat een klein 'sorry voor het ongemak'-briefje achter in de vorm van een paar druppels.","Een 'verboden toegang voor onbevoegden'-bordje bij een baarmoeder.","https://www.babycenter.nl/a544929/innestelingsbloeding"
7,1,"Zo groot als een maanzaadje.","Ze voelt zich vandaag prima. Niets aan de hand. Een normale dag. De stilte voor de storm.","Geniet van de normale dagen, maat. Ze worden zeldzamer. Vandaag is een goede dag voor een biertje. Voor jou dan.","De productie van het zwangerschapshormoon (hCG) begint nu serieus op gang te komen. Dit is het hormoon dat een zwangerschapstest detecteert.","De hormonenfabriek start de productie op. Vandaag worden de machines getest. Morgen draaien ze op volle toeren.","Een fabriekspijp waar hele kleine wolkjes met 'hCG' erop uitkomen.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/3-weken-zwanger/"
8,2,"Zo groot als een sesamzaadje. Ja, we zijn gepromoveerd.","{partnerName} moet vandaag opvallend vaak naar de wc. Alsof haar blaas ineens gekrompen is.","Word vrienden met de wc-bril. Je zult hem de komende maanden vaak voor haar naar beneden moeten doen. Zie het als training.","Het hCG-hormoon en de groeiende baarmoeder zorgen voor extra druk op de blaas. Dit is een van de eerste, meest klassieke zwangerschapssymptomen.","Haar blaas is nu de populairste club van de stad. Iedereen moet er constant in en uit.","Een sesamzaadje dat op een blaas springt als op een trampoline.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/4-weken-zwanger/"
9,2,"Zo groot als een sesamzaadje.","Vandaag zijn haar borsten gevoelig. Alsof ze een lichte zonnebrand hebben, maar dan van binnenuit.","Handen thuis, tenzij anders geïnstrueerd. Beschouw haar borsten als een museumstuk: kijken, niet aanraken.","De borsten bereiden zich al voor op melkproductie. De bloedtoevoer neemt toe, wat ze gezwollen en gevoelig maakt.","De 'melkfabriek' wordt verbouwd. Er worden nieuwe leidingen aangelegd en het personeel wordt getraind. Bouwoverlast is onvermijdelijk.","Twee sesamzaadjes die met een 'verboden toegang'-lint een borst afzetten.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/4-weken-zwanger/"
10,2,"Zo groot als een sesamzaadje.","De 'ik ben een beetje misselijk'-fase begint. Nog niet de hele dag, maar zo'n vlaag in de ochtend.","Jouw nieuwe ochtendritueel: crackers op het nachtkastje. Geen vragen stellen, gewoon doen. Je bent een held.","'Ochtendmisselijkheid' kan op elk moment van de dag toeslaan. Het wordt veroorzaakt door, je raadt het al, hormonen. Gember en kleine, lichte maaltijden kunnen helpen.","Haar maag is een bootje op een onrustige zee. Soms is het windstil, soms is er een storm op komst.","Een groen aangelopen sesamzaadje dat op een deinend schip staat.","https://www.thuisarts.nl/zwanger/ik-ben-zwanger-en-misselijk"
11,2,"Zo groot als een sesamzaadje.","Ze is moe. Niet 'ik heb slecht geslapen'-moe, maar 'ik heb drie marathons achter elkaar gelopen'-moe.","Als ze op de bank in slaap valt, leg dan een dekentje over haar heen en zet de tv op mute. Dat zijn de kleine dingen die tellen.","Het aanmaken van de placenta kost het lichaam enorm veel energie. Dit is de meest voorkomende klacht in het eerste trimester.","De kleine is een energie-vampier. Hij slurpt alle energie op voor de bouw van zijn 9-maanden-durend-paleis (de placenta).","Een sesamzaadje met een rietje, dat uit een batterij drinkt.","https://www.babycenter.nl/a25004913/de-ontwikkeling-van-je-baby-4-weken-zwanger"
